generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1767120597-tXDvluvwHlyeWPyDCsXL,2025-12-30 18:49:57.805,0.014866,,,0,0,14861,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,1001,992,,keynew
gen-1767120596-z6wh1tWccXjbVjZWV7p6,2025-12-30 18:49:56.179,0.000599,,,0,0,594,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,1286,1286,,keynew
gen-1767120595-DrbfZIsdxRUZCcHyJ76x,2025-12-30 18:49:55.623,0.001013,,,0,0,1008,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,779,779,,keynew
gen-1767120595-T5VFFvYmRQmC7WyWIyz9,2025-12-30 18:49:55.616,0.000597,,,0,0,592,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,1090,1090,,keynew
gen-1767120595-YbU1ljFb8wlgvllGbjhF,2025-12-30 18:49:55.607,0.000784,,,0,0,779,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,773,773,,keynew
gen-1767120595-x0vYTS9GBCGYsOiR2WmT,2025-12-30 18:49:55.602,0.002646,,,0,0,2641,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,1255,1255,,keynew
gen-1767120595-bKyfGtzI31elzuSQNJQ2,2025-12-30 18:49:55.602,0.002313,,,0,0,2308,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,849,849,,keynew
gen-1767120595-EWGjg0yUzoFEfFNKzRxt,2025-12-30 18:49:55.601,0.000737,,,0,0,732,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,832,832,,keynew
gen-1767120595-gnDAxUbRYyQRldHe4dIQ,2025-12-30 18:49:55.599,0.000761,,,0,0,756,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,1242,1242,,keynew
gen-1767120595-AwQxy7zpOZQnbKMgyjCI,2025-12-30 18:49:55.599,0.000756,,,0,0,751,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,1334,1334,,keynew
gen-1767120595-pcvb78r4tljPYJiFYHnB,2025-12-30 18:49:55.596,0,,,0,0,31236,61,0,xiaomi/mimo-v2-flash-20251210,Xiaomi,free,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,stop,stop,4528,2280,,keynew
gen-1767120595-zAJOZHsYWFRhk9M1Vnx5,2025-12-30 18:49:55.593,0.000734,,,0,0,729,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,793,793,,keynew
gen-1767120595-v0CVDzNHEZYdSeRwx323,2025-12-30 18:49:55.589,0.001487,,,0,0,1482,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,1079,1079,,keynew
gen-1767120595-MAs5U38JGS473RUL0dJZ,2025-12-30 18:49:55.588,0.001108,,,0,0,1103,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,1166,1164,,keynew
gen-1767120595-VLwzRN3X5tFP9HJLYW6G,2025-12-30 18:49:55.584,0.000683,,,0,0,678,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,1352,1352,,keynew
gen-1767120595-rXylV4IqTelgIbHVVYPT,2025-12-30 18:49:55.545,0.000967,,,0,0,962,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,771,771,,keynew
gen-1767120595-Zf73BUYe01b9gHuaUnn2,2025-12-30 18:49:55.544,0.000599,,,0,0,594,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,825,820,,keynew
gen-1767120595-u1BXVjJ7HPVqAsPoT8eV,2025-12-30 18:49:55.541,0.000701,,,0,0,696,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,1184,1184,,keynew
gen-1767120595-Wjhk2mx0SVUvyDyd3yR5,2025-12-30 18:49:55.540,0.000705,,,0,0,700,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,910,910,,keynew
gen-1767120595-8TdtG7c2MV1K70cYK2qw,2025-12-30 18:49:55.535,0.001505,,,0,0,1500,1,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,user_03d2a38a7d0f0c79a06431ba46bd0eed89d9cd2b32dc5f2f1aa778bfcbad2a26_account__session_3eb6bdc4-4d1a-43c1-92af-d67ef370a4db,length,length,1448,1442,,keynew
